species,decimallongitude,decimallatitude
Q_douglasii,-118.8865,34.869
Q_douglasii,-119.813,34.711
Q_douglasii,-119.5231,37.8048
Q_douglasii,-118.7026,35.7289
Q_douglasii,-121.9266063,40.63772623
Q_douglasii,-121.5342,36.3712
Q_douglasii,-120.416667,34.666667
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-119.7096,36.9866
Q_douglasii,-119.7096,36.9866
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-120.43462,37.94307
Q_douglasii,-120.43462,37.94307
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-120.43462,37.94307
Q_douglasii,-120.43462,37.94307
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-118.8589,35.6139
Q_douglasii,-118.8596,35.6139
Q_douglasii,-120.43462,37.94307
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-119.6911,34.456
Q_douglasii,-120.43462,37.94307
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-122.3626652,39.15300714
Q_douglasii,-120.43462,37.94307
Q_douglasii,-120.43462,37.94307
Q_douglasii,-120.43462,37.94307
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-118.5373,35.2083
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-122.3749,38.2528
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-122.2192174,38.82881073
Q_douglasii,-122.9944,38.8348
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-122.3749,38.2528
Q_douglasii,-122.3749,38.2528
Q_douglasii,-120.5630172,37.91682611
Q_douglasii,-122.3749,38.2528
Q_douglasii,-122.3749,38.2528
